INDIVIDUAL,NEST ID,AGE        (days),BODY CONDITION,BROOD ORDER,MEAN TEMPERATURE,FEATHER CORT (ng/mm)
326,590,31,0.85,SECOND,22.32,18.36
327,609,31,1.15,FIRST,21.97,8.24
328,609,27,0.87,SECOND,22.67,14.53
329,656,25,0.99,FIRST,22.58,12.18
330,656,22,0.95,SECOND,22.4,21.07
331,600,23,1.31,FIRST,22.41,21.3
332,653,35,1.13,FIRST,21.35,10.29
333,653,30,1.01,THIRD,22.22,6.75
334,653,34,1.05,SECOND,21.45,7.14
335,608,27,1.05,FIRST,22.63,7.73
336,608,24,1.03,SECOND,22.54,15.12
337,626,32,1.19,FIRST,22,8.93
338,626,31,1.14,SECOND,22.24,6.81
339,626,24,0.85,THIRD,22.54,13.25
340,620,31,1.19,FIRST,22.32,11.62
341,618,27,1.02,FIRST,22.4,10.4
342,659,34,1.15,FIRST,22.43,9.57
343,638,37,1.07,FIRST,21.88,10.29
344,646,38,1.02,FIRST,21.92,7.35
345,646,35,1.04,SECOND,21.72,10.55
346,629,39,0.97,FIRST,22.04,7.6
347,604,39,0.87,FIRST,22.04,6.04
348,628,27,0.74,FIRST,21.5,18.01
349,586,23,1.23,FIRST,21.5,8.61
350,610,32,0.95,SECOND,21.98,10.83
351,623,26,1.06,FIRST,22.57,9.81
352,624,39,1.13,FIRST,22.22,10.33
353,624,33,0.83,SECOND,21.93,13.42
354,607,37,1.21,FIRST,22.12,15.99
355,607,37,1.1,SECOND,22.12,22.46
356,602,34,1.2,FIRST,21.95,11.45
357,602,31,0.77,SECOND,22.05,15.38
358,594,37,1.14,FIRST,22.12,9.21
359,594,34,1.22,SECOND,21.95,13.53
360,594,33,0.65,THIRD,21.93,14.46
361,610,32,0.97,FIRST,21.98,9.39
362,655,34,0.95,FIRST,21.91,7.05
363,655,34,0.95,SECOND,21.91,7.01
364,649,32,1.15,SINGLETON,22.05,7.64
365,617,37,0.96,FIRST,22.06,6.3
366,630,30,1.01,FIRST,22,5.6
367,630,29,0.95,SECOND,22,9.59
368,606,34,1.03,FIRST,21.91,5.5
369,606,34,1.03,SECOND,21.91,8.49
370,716,32,1.24,SECOND,21.46,13.4
371,716,32,1.08,FIRST,21.46,14.45
372,679,26,1.11,FIRST,20.38,12.52
373,697,29,1.12,FIRST,20.47,15.3
374,718,28,1.09,FIRST,22.13,9.86
375,680,33,0.83,FIRST,22.65,13.75
376,691,24,1.13,FIRST,20.94,9.01
377,686,29,1.23,FIRST,20.66,15.6
378,711,21,0.78,FIRST,22.42,6.8
379,672,31,1.06,SINGLETON,22.13,7.31
380,675,33,0.89,FIRST,21.93,8.5
381,675,33,0.85,SECOND,21.93,7.94
382,677,29,1.06,FIRST,22.24,9.27
383,723,39,0.99,SECOND,22.52,5.58
384,671,38,1.01,FIRST,22.48,6.68
385,671,34,0.57,SECOND,22.45,10.78
386,670,31,0.97,FIRST,22.57,17.7
387,706,25,0.5,SECOND,23,12.29
388,703,35,1.17,FIRST,22.61,7.56
389,718,21,0.6,SECOND,21.86,37.74
390,730,29,0.68,FIRST,23.06,9.91
391,690,36,1.15,FIRST,22.9,6.89
392,710,25,0.92,FIRST,23.69,11.71
393,704,37,0.86,FIRST,24.08,12.67
394,692,28,0.89,FIRST,24.88,9.89
395,674,31,0.86,FIRST,24.69,9.07
396,707,40,1.02,FIRST,21.17,23.12
397,707,38,1.13,SECOND,20.97,10.39
398,684,30,1.11,FIRST,21.01,7.49
399,683,24,1.03,FIRST,20.94,11.1
400,697,22,0.75,SECOND,22.03,10.19
401,699,31,1.06,FIRST,20.79,7.6
402,699,26,0.67,SECOND,22.21,22.1
403,719,28,1.07,FIRST,21.41,6.33
404,719,26,0.96,SECOND,22.21,9.2
405,724,26,0.73,FIRST,22.21,11.2
406,724,22,0.49,SECOND,22.63,11.63
407,723,28,1.15,FIRST,22.31,7.99
408,728,31,0.88,FIRST,22,8.43
409,728,28,0.8,SECOND,22.13,14.67
410,681,32,1.06,FIRST,21.93,13.92
411,722,37,0.8,FIRST,21.47,17.88
412,725,35,1.06,FIRST,21.97,7.72
413,725,33,0.99,SECOND,21.93,7.29
414,725,31,0.92,THIRD,22.13,8.23
415,701,27,0.85,FIRST,20.28,15.13
416,676,25,0.88,FIRST,20.25,13.71
417,686,31,0.41,SECOND,21.92,14.26
418,731,30,0.94,FIRST,22,17.05
419,731,25,0.77,SECOND,22.12,15.41
420,709,35,0.86,SINGLETON,21.42,7.3
421,693,38,0.8,SINGLETON,22.65,7.69
422,702,27,1.07,FIRST,22.13,6.84
423,713,38,1.01,FIRST,20.97,9.22
424,688,29,0.87,FIRST,22.15,10.49
425,689,36,1.01,SINGLETON,21.18,6.91
426,687,31,1.1,FIRST,21.92,8.72
427,717,29,1.1,FIRST,22.21,7.51
